id,prix,surface,pieces,ville,prix_log,type_bien_APPARTEMENT,type_bien_AUTRE,type_bien_MAISON,type_bien_PARKING,type_bien_TERRAIN
2,130000,90.0,4.0,281914.97198098426,11.775297421715827,True,False,False,False,False
5,250000,62.0,3.0,330462.5798285851,12.429220196836383,True,False,False,False,False
6,365000,87.0,4.0,325882.0320818334,12.807655372286902,True,False,False,False,False
7,770000,181.0,7.0,312391.16245717474,13.554147092530322,False,False,True,False,False
8,290000,62.0,3.0,298873.382345485,12.577639650232573,True,False,False,False,False
9,335000,75.0,4.0,291676.87674288906,12.721888795877375,False,False,True,False,False
10,410000,90.0,4.0,295248.30531431764,12.923914877701906,False,False,True,False,False
11,520000,52.0,2.0,411694.6446055649,13.161586013632684,True,False,False,False,False
12,210000,400.0,4.686456400742115,297509.7459818486,12.25486757159303,False,False,False,False,True
13,402000,85.0,4.686456400742115,298487.5831130726,12.904209855160254,False,False,True,False,False
15,380000,90.0,4.0,293819.73388574616,12.847929163278053,False,False,True,False,False
16,149000,67.0,3.0,286052.80050437694,11.91170829631447,True,False,False,False,False
17,250000,130.0,4.686456400742115,291327.92780003045,12.429220196836383,False,False,True,False,False
19,285000,107.0,5.0,288646.1096182123,12.560247968016562,False,False,True,False,False
20,275000,79.0,4.0,288646.1096182123,12.524530013005734,False,False,True,False,False
21,275000,89.0,4.0,289100.65507275774,12.524530013005734,False,False,True,False,False
22,280000,94.0,4.0,288191.5641636668,12.54254845357358,False,False,True,False,False
23,270000,95.0,4.0,288191.5641636668,12.506180941677357,False,False,True,False,False
24,270000,95.0,5.0,288191.5641636668,12.506180941677357,False,False,True,False,False
25,280000,97.0,4.0,288191.5641636668,12.54254845357358,False,False,True,False,False
26,225000,90.0,5.0,286438.7815047938,12.323860125621126,False,False,True,False,False
27,238500,91.0,5.0,287081.63864765095,12.38212878217386,False,False,True,False,False
28,295000,94.0,4.0,289100.65507275774,12.59473402514672,False,False,True,False,False
29,225000,90.0,4.0,284327.92780003045,12.323860125621126,False,False,True,False,False
30,260000,86.0,4.0,288105.4481714605,12.468440756144114,False,False,True,False,False
31,240000,94.0,4.0,284327.92780003045,12.388398368982115,False,False,True,False,False
32,840000,215.0,6.0,318333.80041430966,13.641158361294979,False,False,True,False,False
33,406000,155.0,5.0,248931.13786252093,12.914110901635024,True,False,False,False,False
34,129000,67.0,3.0,281867.3529333652,11.767575435251748,True,False,False,False,False
35,176500,36.0,1.0,286430.36029001675,12.081081821061819,True,False,False,False,False
36,180000,75.0,4.0,284295.92436193663,12.100717685412471,False,False,True,False,False
37,305000,118.0,4.0,285350.65507275774,12.628070334272698,False,False,True,False,False
38,66000,34.0,1.0,248931.13786252093,11.097425172408931,True,False,False,False,False
39,130000,72.0,4.0,273191.5641636668,11.775297421715827,True,False,False,False,False
40,72000,26.0,4.686456400742115,274646.1096182123,11.184435286790631,True,False,False,False,False
43,210000,100.0,4.686456400742115,285724.4957905081,12.25486757159303,False,False,True,False,False
44,190000,96.0,4.0,284772.11483812716,12.154784614286667,False,False,True,False,False
45,222000,165.0,4.0,280991.5641636668,12.310437165348775,False,False,True,False,False
46,169600,115.0,5.0,280991.5641636668,12.041203898548972,False,False,True,False,False
47,49000,50.0,3.0,278057.8291238414,10.799595985047786,False,False,True,False,False
48,346725,110.0,5.0,292235.21007622237,12.756290121650451,False,False,True,False,False
49,540000,1256.0,4.686456400742115,301438.7815047938,13.199326270390594,False,False,False,False,True
52,274696,134.0,4.0,288805.25769527,12.523423951018998,False,False,True,False,False
53,291000,135.0,6.0,289581.63864765095,12.581081982573842,False,False,True,False,False
54,128280,60.0,3.0,275652.70052730315,11.761978449224166,True,False,False,False,False
57,389900,210.0,5.0,294291.16245717474,12.873648139727594,False,False,True,False,False
59,460000,300.0,4.686456400742115,297629.25769527,13.038983942375959,False,False,True,False,False
63,259500,80.0,4.0,288081.63864765095,12.466515835145202,True,False,False,False,False
66,621000,236.0,6.0,298487.5831130726,13.339087971220277,False,False,True,False,False
67,300000,150.0,4.686456400742115,290010.21007622237,12.611541086966115,False,False,True,False,False
68,58907,382.0,4.686456400742115,278529.5910286033,10.983732183846053,False,False,False,False,True
