id,prix,surface,pieces,ville,prix_log,surface_log,type_bien_APPARTEMENT,type_bien_AUTRE,type_bien_MAISON,type_bien_PARKING,type_bien_TERRAIN,cluster
2,130000,90.0,4.0,281914.97198098426,11.775297421715827,4.51085950651685,True,False,False,False,False,0
5,250000,62.0,3.0,330462.5798285851,12.429220196836383,4.143134726391533,True,False,False,False,False,0
6,365000,87.0,4.0,325882.0320818334,12.807655372286902,4.477336814478207,True,False,False,False,False,0
7,770000,181.0,7.0,312391.16245717474,13.554147092530322,5.204006687076795,False,False,True,False,False,2
8,290000,62.0,3.0,298873.382345485,12.577639650232573,4.143134726391533,True,False,False,False,False,0
9,335000,75.0,4.0,291676.87674288906,12.721888795877375,4.330733340286331,False,False,True,False,False,4
10,410000,90.0,4.0,295248.30531431764,12.923914877701906,4.51085950651685,False,False,True,False,False,4
11,520000,52.0,2.0,411694.6446055649,13.161586013632684,3.970291913552122,True,False,False,False,False,5
12,210000,400.0,4.686456400742115,297509.7459818486,12.25486757159303,5.993961427306569,False,False,False,False,True,6
13,402000,85.0,4.686456400742115,298487.5831130726,12.904209855160254,4.454347296253507,False,False,True,False,False,7
15,380000,90.0,4.0,293819.73388574616,12.847929163278053,4.51085950651685,False,False,True,False,False,4
16,149000,67.0,3.0,286052.80050437694,11.91170829631447,4.219507705176107,True,False,False,False,False,0
17,250000,130.0,4.686456400742115,291327.92780003045,12.429220196836383,4.875197323201151,False,False,True,False,False,7
19,285000,107.0,5.0,288646.1096182123,12.560247968016562,4.68213122712422,False,False,True,False,False,7
20,275000,79.0,4.0,288646.1096182123,12.524530013005734,4.382026634673881,False,False,True,False,False,4
21,275000,89.0,4.0,289100.65507275774,12.524530013005734,4.499809670330265,False,False,True,False,False,4
22,280000,94.0,4.0,288191.5641636668,12.54254845357358,4.553876891600541,False,False,True,False,False,4
23,270000,95.0,4.0,288191.5641636668,12.506180941677357,4.564348191467836,False,False,True,False,False,4
24,270000,95.0,5.0,288191.5641636668,12.506180941677357,4.564348191467836,False,False,True,False,False,7
25,280000,97.0,4.0,288191.5641636668,12.54254845357358,4.584967478670572,False,False,True,False,False,4
26,225000,90.0,5.0,286438.7815047938,12.323860125621126,4.51085950651685,False,False,True,False,False,7
27,238500,91.0,5.0,287081.63864765095,12.38212878217386,4.5217885770490405,False,False,True,False,False,7
28,295000,94.0,4.0,289100.65507275774,12.59473402514672,4.553876891600541,False,False,True,False,False,4
29,225000,90.0,4.0,284327.92780003045,12.323860125621126,4.51085950651685,False,False,True,False,False,4
30,260000,86.0,4.0,288105.4481714605,12.468440756144114,4.465908118654584,False,False,True,False,False,4
31,240000,94.0,4.0,284327.92780003045,12.388398368982115,4.553876891600541,False,False,True,False,False,4
32,840000,215.0,6.0,318333.80041430966,13.641158361294979,5.375278407684165,False,False,True,False,False,7
33,406000,155.0,5.0,248931.13786252093,12.914110901635024,5.049856007249537,True,False,False,False,False,7
34,129000,67.0,3.0,281867.3529333652,11.767575435251748,4.219507705176107,True,False,False,False,False,0
35,176500,36.0,1.0,286430.36029001675,12.081081821061819,3.6109179126442243,True,False,False,False,False,5
36,180000,75.0,4.0,284295.92436193663,12.100717685412471,4.330733340286331,False,False,True,False,False,4
37,305000,118.0,4.0,285350.65507275774,12.628070334272698,4.77912349311153,False,False,True,False,False,4
38,66000,34.0,1.0,248931.13786252093,11.097425172408931,3.5553480614894135,True,False,False,False,False,5
39,130000,72.0,4.0,273191.5641636668,11.775297421715827,4.290459441148391,True,False,False,False,False,0
40,72000,26.0,4.686456400742115,274646.1096182123,11.184435286790631,3.295836866004329,True,False,False,False,False,0
43,210000,100.0,4.686456400742115,285724.4957905081,12.25486757159303,4.61512051684126,False,False,True,False,False,7
44,190000,96.0,4.0,284772.11483812716,12.154784614286667,4.574710978503383,False,False,True,False,False,4
45,222000,165.0,4.0,280991.5641636668,12.310437165348775,5.111987788356544,False,False,True,False,False,4
46,169600,115.0,5.0,280991.5641636668,12.041203898548972,4.7535901911063645,False,False,True,False,False,7
47,49000,50.0,3.0,278057.8291238414,10.799595985047786,3.9318256327243257,False,False,True,False,False,4
48,346725,110.0,5.0,292235.21007622237,12.756290121650451,4.709530201312334,False,False,True,False,False,7
49,540000,1256.0,4.686456400742115,301438.7815047938,13.199326270390594,7.136483208590247,False,False,False,False,True,6
52,274696,134.0,4.0,288805.25769527,12.523423951018998,4.90527477843843,False,False,True,False,False,4
53,291000,135.0,6.0,289581.63864765095,12.581081982573842,4.912654885736052,False,False,True,False,False,7
54,128280,60.0,3.0,275652.70052730315,11.761978449224166,4.110873864173311,True,False,False,False,False,0
57,389900,210.0,5.0,294291.16245717474,12.873648139727594,5.351858133476067,False,False,True,False,False,7
59,460000,300.0,4.686456400742115,297629.25769527,13.038983942375959,5.707110264748875,False,False,True,False,False,7
63,259500,80.0,4.0,288081.63864765095,12.466515835145202,4.394449154672439,True,False,False,False,False,0
66,621000,236.0,6.0,298487.5831130726,13.339087971220277,5.4680601411351315,False,False,True,False,False,7
67,300000,150.0,4.686456400742115,290010.21007622237,12.611541086966115,5.017279836814924,False,False,True,False,False,7
68,58907,382.0,4.686456400742115,278529.5910286033,10.983732183846053,5.948034989180646,False,False,False,False,True,6
69,329680,78.0,3.0,376108.7647000239,12.705880799252457,4.3694478524670215,True,False,False,False,False,0
71,104900,50.0,2.0,277005.20052730315,11.560772327227417,3.9318256327243257,True,False,False,False,False,5
72,275600,55.0,3.0,297263.1004833612,12.526709446562082,4.02535169073515,False,False,True,False,False,4
73,203800,47.0,2.0,288680.5764640268,12.224899306530068,3.871201010907891,True,False,False,False,False,5
74,630000,43.0,2.0,411694.6446055649,13.353476685668044,3.784189633918261,True,False,False,False,False,5
75,525000,188.0,5.0,300724.4957905081,13.171155446333852,5.241747015059643,False,False,True,False,False,7
76,285000,70.0,4.0,304325.4640500093,12.560247968016562,4.2626798770413155,True,False,False,False,False,0
77,99000,67.0,4.0,280438.7815047938,11.502885230075814,4.219507705176107,True,False,False,False,False,0
80,172000,14.0,1.0,411694.6446055649,12.055255569732177,2.70805020110221,True,False,False,False,False,5
81,275000,88.0,4.0,288146.1096182123,12.524530013005734,4.48863636973214,False,False,True,False,False,4
82,189000,68.0,4.0,281782.4732545759,12.149507585033072,4.23410650459726,True,False,False,False,False,0
