id,title,category,type,price,city,zipcode,region,url,image_url,author,contact,suspicious,score,created_at,updated_at,surface,price_m2
1,Charmante petite maison T2,Ventes immobilières,Maison,115000,Le Tampon,97430,Réunion,https://www.leboncoin.fr/ad/ventes_immobilieres/3166767738,https://img.leboncoin.fr/api/v1/lbcpb1/images/9c/cd/23/9ccd2350b0beebef143d6f581e1f2376d2334473.jpg?rule=ad-image,89e027fdbfeb,hidden,0,5,2026-03-23 10:24:27,2026-03-23 10:24:27,,
2,Appartement 4 pièces 90 m²,Ventes immobilières,Appartement,130000,Aubenas,7200,Rhône-Alpes,https://www.leboncoin.fr/ad/ventes_immobilieres/3166767735,https://img.leboncoin.fr/api/v1/lbcpb1/images/19/5b/0a/195b0ad5e64f152e6963bcc6af7557e1012db071.jpg?rule=ad-image,83af8e5a9f5d,hidden,0,5,2026-03-23 10:24:27,2026-03-23 10:24:27,90.0,1444.44
3,✨ Jolie maison rénovée avec sous-sol complet et jardin dans le village prisé de Mérignies,Ventes immobilières,Maison,409900,Mérignies,59710,Nord-Pas-de-Calais,https://www.leboncoin.fr/ad/ventes_immobilieres/3166758936,https://img.leboncoin.fr/api/v1/lbcpb1/images/c6/1b/b4/c61bb44fb57fc03f9d77a35ea600e6c4e271f716.jpg?rule=ad-image,b1a711b11670,hidden,0,5,2026-03-23 10:24:27,2026-03-23 10:24:27,,
4,Vente place de parking centre-ville,Ventes immobilières,Parking,12000,Croissy-sur-Seine,78290,Ile-de-France,https://www.leboncoin.fr/ad/ventes_immobilieres/3166767441,https://img.leboncoin.fr/api/v1/lbcpb1/images/9f/df/8c/9fdf8c84efae30b9371ab975e87dfe0d7613475e.jpg?rule=ad-image,e35229531387,hidden,1,4,2026-03-23 10:24:27,2026-03-23 10:24:27,,
5,Appartement 3 pièces 62 m²,Ventes immobilières,Appartement,250000,Bordeaux,33000,Aquitaine,https://www.leboncoin.fr/ad/ventes_immobilieres/3166767513,https://img.leboncoin.fr/api/v1/lbcpb1/images/91/bb/6d/91bb6d9d0f91bfbe8dc870fed877692be64593db.jpg?rule=ad-image,38854fed407f,hidden,0,5,2026-03-23 10:24:27,2026-03-23 10:24:27,62.0,4032.26
6,Appartement 4 pièces 87 m²,Ventes immobilières,Appartement,365000,Lyon,69003,Rhône-Alpes,https://www.leboncoin.fr/ad/ventes_immobilieres/3166767511,https://img.leboncoin.fr/api/v1/lbcpb1/images/6b/c9/94/6bc9945c697fa7e89ff5a380bfc2d55490d931e1.jpg?rule=ad-image,38854fed407f,hidden,0,5,2026-03-23 10:24:27,2026-03-23 10:24:27,87.0,4195.4
7,Maison 7 pièces 181 m²,Ventes immobilières,Maison,770000,Lompret,59840,Nord-Pas-de-Calais,https://www.leboncoin.fr/ad/ventes_immobilieres/3166767509,https://img.leboncoin.fr/api/v1/lbcpb1/images/ba/a6/e8/baa6e87a51090b093a76280a9c0535dda2dab2a4.jpg?rule=ad-image,38854fed407f,hidden,0,5,2026-03-23 10:24:27,2026-03-23 10:24:27,181.0,4254.14
8,Appartement 3 pièces 62 m²,Ventes immobilières,Appartement,290000,Sartrouville,78500,Ile-de-France,https://www.leboncoin.fr/ad/ventes_immobilieres/3166767495,https://img.leboncoin.fr/api/v1/lbcpb1/images/4c/39/db/4c39dbb95a8291ac6d35e3be3edaf0afdf1d3194.jpg?rule=ad-image,38854fed407f,hidden,0,5,2026-03-23 10:24:27,2026-03-23 10:24:27,62.0,4677.42
9,Maison 4 pièces 75 m²,Ventes immobilières,Maison,335000,Le Puy-Sainte-Réparade,13610,Provence-Alpes-Côte d'Azur,https://www.leboncoin.fr/ad/ventes_immobilieres/3166767464,https://img.leboncoin.fr/api/v1/lbcpb1/images/4d/2b/1e/4d2b1ec95d5a938cf596222d918542048c809b6a.jpg?rule=ad-image,1e0f87243a08,hidden,0,5,2026-03-23 10:24:27,2026-03-23 10:24:27,75.0,4466.67
10,Maison 4 pièces 90 m²,Ventes immobilières,Maison,410000,Rognac,13340,Provence-Alpes-Côte d'Azur,https://www.leboncoin.fr/ad/ventes_immobilieres/3166767458,https://img.leboncoin.fr/api/v1/lbcpb1/images/4d/2b/1e/4d2b1ec95d5a938cf596222d918542048c809b6a.jpg?rule=ad-image,1e0f87243a08,hidden,0,5,2026-03-23 10:24:27,2026-03-23 10:24:27,90.0,4555.56
11,Appartement 2 pièces 52 m²,Ventes immobilières,Appartement,520000,Paris,75011,Ile-de-France,https://www.leboncoin.fr/ad/ventes_immobilieres/3166767491,https://img.leboncoin.fr/api/v1/lbcpb1/images/77/4a/9c/774a9cef0b139ffb2c9bdb43a38de8ecb62dd969.jpg?rule=ad-image,38854fed407f,hidden,0,5,2026-03-23 10:24:27,2026-03-23 10:24:27,52.0,10000.0
12,Terrain 400 m² La Bouilladisse,Ventes immobilières,Terrain,210000,La Bouilladisse,13720,Provence-Alpes-Côte d'Azur,https://www.leboncoin.fr/ad/ventes_immobilieres/3166767473,https://img.leboncoin.fr/api/v1/lbcpb1/images/f9/93/99/f9939954d79206ea55c0734304c8bcc7f2a4286c.jpg?rule=ad-image,1e0f87243a08,hidden,0,5,2026-03-23 10:24:27,2026-03-23 10:24:27,400.0,525.0
13,Maison 85 m² Marignane,Ventes immobilières,Maison,402000,Marignane,13700,Provence-Alpes-Côte d'Azur,https://www.leboncoin.fr/ad/ventes_immobilieres/3166767459,https://img.leboncoin.fr/api/v1/lbcpb1/images/7f/16/4f/7f164f38c828c8f1c89706e4e8f3fb41ccb832a5.jpg?rule=ad-image,1e0f87243a08,hidden,0,5,2026-03-23 10:24:27,2026-03-23 10:24:27,85.0,4729.41
14,Immeuble de rapport – Centre-ville Valenciennes,Ventes immobilières,Autre,178000,Valenciennes,59300,Nord-Pas-de-Calais,https://www.leboncoin.fr/ad/ventes_immobilieres/3166767347,https://img.leboncoin.fr/api/v1/lbcpb1/images/bc/18/b3/bc18b38d102684f070fe8c4ef3e385b84d8e3e92.jpg?rule=ad-image,f1c6127b16ff,hidden,0,5,2026-03-23 10:24:27,2026-03-23 10:24:27,,
15,Maison 4 pièces 90 m²,Ventes immobilières,Maison,380000,Gardanne,13120,Provence-Alpes-Côte d'Azur,https://www.leboncoin.fr/ad/ventes_immobilieres/3166767465,https://img.leboncoin.fr/api/v1/lbcpb1/images/12/51/a9/1251a941071b794ec763975e14892a7966df1d31.jpg?rule=ad-image,1e0f87243a08,hidden,0,5,2026-03-23 10:24:27,2026-03-23 10:24:27,90.0,4222.22
16,Appartement 3 pièces 67 m²,Ventes immobilières,Appartement,149000,Rodez,12000,Midi-Pyrénées,https://www.leboncoin.fr/ad/ventes_immobilieres/3166767396,https://img.leboncoin.fr/api/v1/lbcpb1/images/4b/64/c8/4b64c8cd4485407a08235ff597636933f628de7c.jpg?rule=ad-image,4ee8608b7bbb,hidden,0,5,2026-03-23 10:24:27,2026-03-23 10:24:27,67.0,2223.88
17,Maison 130 m² Charleville Mezieres,Ventes immobilières,Maison,250000,Charleville-Mézières,8000,Champagne-Ardenne,https://www.leboncoin.fr/ad/ventes_immobilieres/3166767390,https://img.leboncoin.fr/api/v1/lbcpb1/images/56/51/da/5651dab5fbd49eb4712c9c8984c266ceee3f7c12.jpg?rule=ad-image,c418bae281d5,hidden,0,5,2026-03-23 10:24:27,2026-03-23 10:24:27,130.0,1923.08
18,Bien immobilier,Ventes immobilières,Maison,285000,Corneilhan,34490,Languedoc-Roussillon,https://www.leboncoin.fr/ad/ventes_immobilieres/3117869116,https://img.leboncoin.fr/api/v1/lbcpb1/images/70/f9/64/70f964957d776dc280dc61721c665c122dab44c0.jpg?rule=ad-image,95766899197f,hidden,0,5,2026-03-23 10:24:27,2026-03-23 10:24:27,,
19,Maison 5 pièces 107 m²,Ventes immobilières,Maison,285000,Rignieux-le-Franc,1800,Rhône-Alpes,https://www.leboncoin.fr/ad/ventes_immobilieres/3166767285,https://img.leboncoin.fr/api/v1/lbcpb1/images/9c/06/dc/9c06dc569ca9e99487bf1e9df06c9e9a41df3f0d.jpg?rule=ad-image,7902cb80ae0e,hidden,0,5,2026-03-23 10:24:27,2026-03-23 10:24:27,107.0,2663.55
20,Maison 4 pièces 79 m²,Ventes immobilières,Maison,275000,Rignieux-le-Franc,1800,Rhône-Alpes,https://www.leboncoin.fr/ad/ventes_immobilieres/3166767283,https://img.leboncoin.fr/api/v1/lbcpb1/images/00/b8/d6/00b8d683336398f619c75168a580b4ca84425d70.jpg?rule=ad-image,7902cb80ae0e,hidden,0,5,2026-03-23 10:24:27,2026-03-23 10:24:27,79.0,3481.01
21,Maison 4 pièces 89 m²,Ventes immobilières,Maison,275000,Blyes,1150,Rhône-Alpes,https://www.leboncoin.fr/ad/ventes_immobilieres/3166767278,https://img.leboncoin.fr/api/v1/lbcpb1/images/00/b8/d6/00b8d683336398f619c75168a580b4ca84425d70.jpg?rule=ad-image,7902cb80ae0e,hidden,0,5,2026-03-23 10:24:27,2026-03-23 10:24:27,89.0,3089.89
22,Maison 4 pièces 94 m²,Ventes immobilières,Maison,280000,Priay,1160,Rhône-Alpes,https://www.leboncoin.fr/ad/ventes_immobilieres/3166767271,https://img.leboncoin.fr/api/v1/lbcpb1/images/9c/06/dc/9c06dc569ca9e99487bf1e9df06c9e9a41df3f0d.jpg?rule=ad-image,7902cb80ae0e,hidden,0,5,2026-03-23 10:24:27,2026-03-23 10:24:27,94.0,2978.72
23,Maison 4 pièces 95 m²,Ventes immobilières,Maison,270000,Priay,1160,Rhône-Alpes,https://www.leboncoin.fr/ad/ventes_immobilieres/3166767268,https://img.leboncoin.fr/api/v1/lbcpb1/images/00/b8/d6/00b8d683336398f619c75168a580b4ca84425d70.jpg?rule=ad-image,7902cb80ae0e,hidden,0,5,2026-03-23 10:24:27,2026-03-23 10:24:27,95.0,2842.11
24,Maison 5 pièces 95 m²,Ventes immobilières,Maison,270000,Lhuis,1680,Rhône-Alpes,https://www.leboncoin.fr/ad/ventes_immobilieres/3166767267,https://img.leboncoin.fr/api/v1/lbcpb1/images/00/b8/d6/00b8d683336398f619c75168a580b4ca84425d70.jpg?rule=ad-image,7902cb80ae0e,hidden,0,5,2026-03-23 10:24:27,2026-03-23 10:24:27,95.0,2842.11
25,Maison 4 pièces 97 m²,Ventes immobilières,Maison,280000,Lhuis,1680,Rhône-Alpes,https://www.leboncoin.fr/ad/ventes_immobilieres/3166767266,https://img.leboncoin.fr/api/v1/lbcpb1/images/6b/cf/d9/6bcfd921a463dbb1f0de03360e059816466c7514.jpg?rule=ad-image,7902cb80ae0e,hidden,0,5,2026-03-23 10:24:27,2026-03-23 10:24:27,97.0,2886.6
26,Maison 5 pièces 90 m²,Ventes immobilières,Maison,225000,Neuville-sur-Ain,1160,Rhône-Alpes,https://www.leboncoin.fr/ad/ventes_immobilieres/3166767264,https://img.leboncoin.fr/api/v1/lbcpb1/images/04/4d/93/044d93f7adea26113a83e2f8787834f3097f9bd4.jpg?rule=ad-image,7902cb80ae0e,hidden,0,5,2026-03-23 10:24:27,2026-03-23 10:24:27,90.0,2500.0
